profile_id,competitions_participated,competitions_won,finalist_count,organizer_count,leadership_role_count,achievement_count,national_impact_count,regional_impact_count,campus_impact_count,portfolio_scale,ais_raw,ais_normalized,grit_raw,grit_normalized,success_score,success_prediction_label,risk_score,at_risk_label,review_flag
STU-0193,0,0,0,0,1,1,1,0,0,0.762,7.762,22.26,0.0,0.0,0,0,5,1,needs_support
STU-0198,1,0,0,0,0,1,0,0,1,1.208,1.708,3.2,4.0,14.29,0,0,4,1,needs_support
STU-0199,2,0,1,0,1,2,1,0,1,1.931,11.431,33.81,8.0,28.57,0,0,3,0,needs_support
STU-0201,2,0,0,0,0,0,0,0,0,1.099,1.099,1.28,8.0,28.57,0,0,3,0,needs_support
STU-0202,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,1,needs_support
STU-0205,2,0,1,0,1,1,0,0,1,1.525,8.025,23.08,8.0,28.57,0,0,3,0,needs_support
STU-0207,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,1,needs_support
STU-0208,1,0,1,0,0,1,1,0,0,1.208,6.208,17.36,4.0,14.29,0,0,4,1,needs_support
STU-0209,1,1,0,0,0,0,0,0,0,0.693,5.693,15.74,6.0,21.43,1,1,3,0,needs_support
STU-0210,0,0,0,0,0,1,1,0,0,0.762,3.762,9.66,0.0,0.0,0,0,5,1,needs_support
STU-0211,0,0,0,0,0,1,1,0,0,0.762,3.762,9.66,0.0,0.0,0,0,5,1,needs_support
STU-0212,1,0,0,0,0,1,0,0,1,1.208,1.708,3.2,4.0,14.29,0,0,4,1,needs_support
STU-0213,0,0,0,0,0,1,0,1,0,0.762,2.262,4.94,0.0,0.0,0,0,5,1,needs_support
STU-0215,0,0,0,0,1,1,1,0,0,0.762,7.762,22.26,0.0,0.0,0,0,5,1,needs_support
STU-0217,0,0,0,0,1,2,0,0,2,1.318,6.318,17.71,0.0,0.0,0,0,5,1,needs_support
STU-0222,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,0,5,1,needs_support
STU-0223,2,1,1,0,0,0,0,0,0,1.099,8.099,23.32,10.0,35.71,1,1,2,0,needs_support
STU-0224,1,0,0,0,1,1,0,0,1,1.208,5.708,15.79,4.0,14.29,0,0,4,1,needs_support
STU-0225,2,0,0,2,2,0,0,0,0,1.099,9.099,26.47,8.0,28.57,0,0,3,0,needs_support
STU-0232,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,0,5,1,needs_support
STU-0236,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,1,needs_support
STU-0237,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,1,needs_support
STU-0239,1,1,0,0,0,0,0,0,0,0.693,5.693,15.74,6.0,21.43,1,1,3,0,needs_support
STU-0240,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,1,needs_support
STU-0241,0,0,0,0,0,1,1,0,0,0.762,3.762,9.66,0.0,0.0,0,0,5,1,needs_support
STU-0242,0,0,0,0,1,1,0,1,0,0.762,6.262,17.53,0.0,0.0,0,0,5,1,needs_support
STU-0243,0,0,0,0,0,1,0,1,0,0.762,2.262,4.94,0.0,0.0,0,0,5,1,needs_support
STU-0244,0,0,0,0,0,1,0,1,0,0.762,2.262,4.94,0.0,0.0,0,0,5,1,needs_support
STU-0245,2,0,1,0,1,1,0,0,1,1.525,8.025,23.08,8.0,28.57,0,0,3,0,needs_support
STU-0247,1,0,1,0,0,1,0,1,0,1.208,4.708,12.64,4.0,14.29,0,0,4,1,needs_support
STU-0248,1,1,0,0,0,1,0,0,1,1.208,6.708,18.94,6.0,21.43,1,1,3,0,needs_support
STU-0249,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,1,needs_support
STU-0253,1,0,1,0,0,1,0,1,0,1.208,4.708,12.64,4.0,14.29,0,0,4,1,needs_support
STU-0254,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,1,needs_support
STU-0255,2,0,0,0,0,0,0,0,0,1.099,1.099,1.28,8.0,28.57,0,0,3,0,needs_support
STU-0256,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,1,needs_support
STU-0257,1,0,1,0,0,1,0,0,1,1.208,3.708,9.49,4.0,14.29,0,0,4,1,needs_support
STU-0258,1,0,0,0,0,1,0,1,0,1.208,2.708,6.34,4.0,14.29,0,0,4,1,needs_support
STU-0259,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,1,needs_support
STU-0261,1,0,0,0,0,1,0,0,1,1.208,1.708,3.2,4.0,14.29,0,0,4,1,needs_support
STU-0262,0,0,0,0,1,1,0,1,0,0.762,6.262,17.53,0.0,0.0,0,0,5,1,needs_support
STU-0265,1,0,0,0,0,1,0,1,0,1.208,2.708,6.34,4.0,14.29,0,0,4,1,needs_support
STU-0266,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,1,needs_support
STU-0267,1,0,1,0,0,2,2,0,0,1.664,9.664,28.25,4.0,14.29,0,0,4,1,needs_support
STU-0268,2,0,1,0,0,0,0,0,0,1.099,3.099,7.58,8.0,28.57,0,0,3,0,needs_support
STU-0269,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,0,5,1,needs_support
STU-0270,3,0,1,1,1,0,0,0,0,1.386,7.386,21.07,9.0,32.14,0,0,3,0,needs_support
STU-0271,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,0,5,1,needs_support
STU-0272,0,0,0,0,1,1,0,0,1,0.762,5.262,14.39,0.0,0.0,0,0,5,1,needs_support
STU-0273,1,1,0,0,0,0,0,0,0,0.693,5.693,15.74,6.0,21.43,1,1,3,0,needs_support
STU-0274,1,0,1,0,0,1,0,1,0,1.208,4.708,12.64,4.0,14.29,0,0,4,1,needs_support
STU-0275,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,1,needs_support
STU-0276,2,0,1,0,0,0,0,0,0,1.099,3.099,7.58,8.0,28.57,0,0,3,0,needs_support
STU-0277,1,0,0,0,0,0,0,0,0,0.693,0.693,0.0,4.0,14.29,0,0,4,1,needs_support
STU-0279,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,1,needs_support
STU-0280,1,0,0,1,2,2,0,1,1,1.664,11.664,34.54,4.0,14.29,0,0,4,1,needs_support
STU-0281,0,0,0,0,0,1,0,1,0,0.762,2.262,4.94,0.0,0.0,0,0,5,1,needs_support
STU-0284,0,0,0,0,0,2,0,1,1,1.318,3.318,8.26,0.0,0.0,0,0,5,1,needs_support
STU-0285,0,0,0,0,0,2,0,1,1,1.318,3.318,8.26,0.0,0.0,0,0,5,1,needs_support
STU-0288,0,0,0,0,1,1,1,0,0,0.762,7.762,22.26,0.0,0.0,0,0,5,1,needs_support
STU-0290,0,0,0,0,1,1,0,0,1,0.762,5.262,14.39,0.0,0.0,0,0,5,1,needs_support
STU-0291,4,0,1,1,2,1,0,0,1,1.971,12.471,37.08,13.0,46.43,0,0,3,0,needs_support
STU-0292,0,0,0,0,0,2,1,1,0,1.318,5.818,16.14,0.0,0.0,0,0,5,1,needs_support
STU-0295,0,0,0,0,0,1,1,0,0,0.762,3.762,9.66,0.0,0.0,0,0,5,1,needs_support
STU-0297,1,0,1,0,0,0,0,0,0,0.693,2.693,6.3,4.0,14.29,0,0,4,1,needs_support
STU-0299,0,0,0,0,0,1,0,0,1,0.762,1.262,1.79,0.0,0.0,0,0,5,1,needs_support
STU-0300,1,0,0,1,1,0,0,0,0,0.693,4.693,12.59,4.0,14.29,0,0,4,1,needs_support
