startup_id,startup_name,sector,subsector,funding_stage,trl_level,founded_year,hq_city,team_size,pitch_summary,problem_statement,solution_summary,traction_signal,founder_count
STA00074,Balay Solutions,GovTech,Tax Tech,seed,3,2024,Jaipur,29,Gig workers have no access to micro-insurance products. Affordable live-cohort JEE prep with AI-adaptive mock tests. Soil health card integration via government API.,Commercial rooftops capture less than 8% of viable solar potential.,Asset-light rooftop solar leasing model with zero upfront cost for SMEs.,50 paying customers; ₹3L MRR growing 15% month-over-month.,3
STA00075,Mutti Solutions,AgriTech,Supply Chain,pre-seed,2,2025,Coimbatore,8,Agricultural credit is unavailable without land-title collateral. FPO-linked direct market platform eliminating 3 layers of commission agents. Last-mile network of 200 village-level tech entrepreneurs.,Post-harvest losses exceed 25% in perishable supply chains.,IoT-enabled cold-chain monitoring with real-time temperature alerts.,Concept validated with 30 potential users via surveys.,3
STA00076,Rattan AI,RetailTech,ONDC Integration,pre-seed,3,2026,Mumbai,5,Smallholder farmers receive 30% of consumer price for produce. Affordable live-cohort JEE prep with AI-adaptive mock tests. ABDM-compliant data layer ensuring regulatory fit.,Rural patients travel 80+ km for specialist consultations.,Gamified skill tracks with peer accountability pods.,Problem validated; no paying customers yet.,2
STA00077,Loyal Ventures,HRTech,Payroll,pre-seed,1,2025,Pune,3,Rural patients travel 80+ km for specialist consultations. Vibration-sensor ML pipeline predicting motor failures 72 hours ahead. CDSCO medical device registration in progress; CE mark filed.,Rural patients travel 80+ km for specialist consultations.,Modular fast-charging hubs deployed at highway dhabas via franchise model.,MVP in development; 15 design-partner interviews completed.,2
STA00078,Bhatti AI,CleanTech,EV Charging,grant,5,2024,Mumbai,5,"Municipal solid waste processing costs ₹1,800/tonne yet yields no revenue. Asset-light rooftop solar leasing model with zero upfront cost for SMEs. Proprietary RDF quality-certification accepted by 4 cement majors.",Industrial units lack real-time visibility into energy wastage.,Modular fast-charging hubs deployed at highway dhabas via franchise model.,BIRAC BIG grant recipient; prototype validation underway.,4
STA00079,Kakar AI,CyberSecurity,SOC Automation,seed,3,2025,Bengaluru,23,Gig workers have no access to micro-insurance products. AI radiology assistant prioritising critical findings in chest X-rays within 30 seconds. Proprietary RDF quality-certification accepted by 4 cement majors.,EV charging deserts exist across National Highway corridors.,Automated invoice discounting platform integrated with Tally and Zoho Books.,120 beta users; NPS score 68; waitlist of 400.,2
STA00080,Murty Solutions,FinTech,Insurance Tech,seed,3,2023,Pune,12,Gig workers have no access to micro-insurance products. Pay-per-use micro-insurance embedded at point of gig-work assignment. Insurance regulator (IRDAI) sandbox approval for micro-insurance product.,Rural households lose 20% of savings to informal money lenders.,Pay-per-use micro-insurance embedded at point of gig-work assignment.,50 paying customers; ₹3L MRR growing 15% month-over-month.,4
STA00081,Kala Solutions,EdTech,Higher Education,series-a,8,2024,Hyderabad,31,College placement rates drop below 40% for non-metro engineering graduates. AI-based learning-gap detector embedded in existing school LMS. Vernacular content library in 6 Indian languages.,College placement rates drop below 40% for non-metro engineering graduates.,AI-based learning-gap detector embedded in existing school LMS.,B2B SaaS with ₹3.8Cr ARR and 110% net revenue retention.,3
STA00082,Tata Labs,HRTech,Upskilling,series-a,6,2021,Bengaluru,26,Smallholder farmers receive 30% of consumer price for produce. Pay-per-use micro-insurance embedded at point of gig-work assignment. Adaptive engine built on 4 years of proprietary learning-path data.,School teachers lack tools to identify slow learners early.,AI radiology assistant prioritising critical findings in chest X-rays within 30 seconds.,₹5Cr ARR; DPIIT-recognised startup; international pilots live.,3
STA00083,Randhawa Platforms,FinTech,Lending,bootstrapped,4,2023,Pune,10,"B2B invoice settlement delays strangle MSME cash flow. Alternative credit scoring using GST, UPI, and utility payment history. Insurance regulator (IRDAI) sandbox approval for micro-insurance product.",60% of MSMEs are rejected by formal credit channels due to thin credit files.,Pay-per-use micro-insurance embedded at point of gig-work assignment.,Profitable from month 8; ₹1.2Cr ARR; zero external funding.,2
STA00084,Shanker Tech,EdTech,Higher Education,seed,4,2023,Mumbai,9,College placement rates drop below 40% for non-metro engineering graduates. AI-based learning-gap detector embedded in existing school LMS. Partnerships with 120 companies for direct hiring.,First-generation learners cannot afford quality JEE/NEET coaching.,Industry-linked micro-credential programmes with guaranteed interviews.,120 beta users; NPS score 68; waitlist of 400.,3
STA00085,Dhar AI,HRTech,Payroll,bootstrapped,6,2023,Kochi,32,Smallholder farmers receive 30% of consumer price for produce. Gamified skill tracks with peer accountability pods. DISCOM-agnostic net-metering integration across 9 states.,Indian-language voice interfaces fail below 70% accuracy on regional dialects.,IoT-enabled cold-chain monitoring with real-time temperature alerts.,Self-funded; 80 clients; growing via word-of-mouth.,3
STA00086,Lanka Solutions,EdTech,K-12 Tutoring,seed,3,2023,Jaipur,26,College placement rates drop below 40% for non-metro engineering graduates. AI-based learning-gap detector embedded in existing school LMS. Vernacular content library in 6 Indian languages.,Upskilling programmes have 70% dropout rates due to poor engagement.,AI-based learning-gap detector embedded in existing school LMS.,₹8L MRR; partnerships with 2 district hospitals signed.,4
STA00087,Dewan Platforms,FinTech,Wealth Management,series-a,8,2021,Chennai,29,"B2B invoice settlement delays strangle MSME cash flow. Alternative credit scoring using GST, UPI, and utility payment history. Bureau-plus-alternative-data underwriting model with 3.2% NPA at 18 months.",Rural households lose 20% of savings to informal money lenders.,NBFC-backed savings and credit product distributed via SHGs.,B2B SaaS with ₹3.8Cr ARR and 110% net revenue retention.,4
STA00088,Koshy Solutions,DeepTech,Computer Vision,seed,5,2025,Kochi,22,"Predictive maintenance alerts arrive after failure, not before. AI radiology assistant prioritising critical findings in chest X-rays within 30 seconds. Patented dialect normalisation layer improving WER by 34%.",Quality inspection on manufacturing lines misses 12% of defects using manual visual checks.,AI radiology assistant prioritising critical findings in chest X-rays within 30 seconds.,50 paying customers; ₹3L MRR growing 15% month-over-month.,2
STA00089,Yohannan Solutions,EdTech,Corporate Training,seed,5,2025,Coimbatore,13,College placement rates drop below 40% for non-metro engineering graduates. AI-based learning-gap detector embedded in existing school LMS. Partnerships with 120 companies for direct hiring.,Upskilling programmes have 70% dropout rates due to poor engagement.,AI-based learning-gap detector embedded in existing school LMS.,Pilot live with 2 SME clients; 92% retention over 3 months.,4
STA00090,Lall Tech,BioTech,Bioinformatics,bootstrapped,5,2025,Jaipur,29,Smallholder farmers receive 30% of consumer price for produce. AI radiology assistant prioritising critical findings in chest X-rays within 30 seconds. Co-lending partnership with 2 scheduled commercial banks.,Smallholder farmers receive 30% of consumer price for produce.,IoT energy-monitoring dashboard with ML anomaly detection for factories.,Profitable from month 8; ₹1.2Cr ARR; zero external funding.,3
STA00091,Sangha Labs,BioTech,AgBio,grant,2,2025,Coimbatore,6,"Smallholder farmers receive 30% of consumer price for produce. Unified digital health record accessible across providers. Placement-outcome data from 8,000 alumni powering job-match algorithm.",Rural households lose 20% of savings to informal money lenders.,Modular fast-charging hubs deployed at highway dhabas via franchise model.,DST-NIDHI PRAYAS grant sanctioned; lab trials in progress.,4
STA00092,Rastogi Tech,HealthTech,Hospital Management,bootstrapped,6,2024,Bengaluru,19,Paper-based health records cause critical diagnostic delays. Unified digital health record accessible across providers. WhatsApp-native UX requiring zero app download.,Paper-based health records cause critical diagnostic delays.,On-demand video therapy with licensed clinical psychologists.,Bootstrap journey: ₹90L revenue in year 2; no debt.,2
STA00093,Pathak Solutions,AgriTech,Precision Farming,pre-seed,2,2025,Jaipur,5,Post-harvest losses exceed 25% in perishable supply chains. FPO-linked direct market platform eliminating 3 layers of commission agents. Soil health card integration via government API.,Agricultural credit is unavailable without land-title collateral.,Satellite and drone imagery with ML pest-detection alerting farmers 10 days early.,MVP in development; 15 design-partner interviews completed.,3
STA00094,Kanda Systems,DeepTech,Quantum Computing,bootstrapped,4,2024,Kochi,23,Quality inspection on manufacturing lines misses 12% of defects using manual visual checks. Dialect-aware ASR model fine-tuned on 900 hours of regional audio. Physics-informed ML model reducing false-positive maintenance alerts by 60%.,"Predictive maintenance alerts arrive after failure, not before.",Edge-deployed computer vision model for zero-defect PCB and textile inspection.,Self-funded; 80 clients; growing via word-of-mouth.,4
STA00095,Devi AI,HRTech,Upskilling,pre-seed,2,2025,Delhi,5,Paper-based health records cause critical diagnostic delays. On-demand video therapy with licensed clinical psychologists. DISCOM-agnostic net-metering integration across 9 states.,Indian-language voice interfaces fail below 70% accuracy on regional dialects.,AI radiology assistant prioritising critical findings in chest X-rays within 30 seconds.,Prototype demoed at college tech fest; 3 LOIs collected.,3
STA00096,Upadhyay Labs,EdTech,Higher Education,grant,4,2025,Chennai,5,First-generation learners cannot afford quality JEE/NEET coaching. Affordable live-cohort JEE prep with AI-adaptive mock tests. Adaptive engine built on 4 years of proprietary learning-path data.,First-generation learners cannot afford quality JEE/NEET coaching.,Affordable live-cohort JEE prep with AI-adaptive mock tests.,AIM-iCREATE grant; product under regulatory review.,2
STA00097,Tak Systems,DeepTech,Computer Vision,seed,4,2023,Jaipur,24,Indian-language voice interfaces fail below 70% accuracy on regional dialects. Edge-deployed computer vision model for zero-defect PCB and textile inspection. CDSCO medical device registration in progress; CE mark filed.,Quality inspection on manufacturing lines misses 12% of defects using manual visual checks.,Vibration-sensor ML pipeline predicting motor failures 72 hours ahead.,50 paying customers; ₹3L MRR growing 15% month-over-month.,3
STA00098,Chand Systems,FinTech,Payments,pre-seed,3,2025,Bengaluru,8,"Rural households lose 20% of savings to informal money lenders. Alternative credit scoring using GST, UPI, and utility payment history. Insurance regulator (IRDAI) sandbox approval for micro-insurance product.",B2B invoice settlement delays strangle MSME cash flow.,Automated invoice discounting platform integrated with Tally and Zoho Books.,Prototype demoed at college tech fest; 3 LOIs collected.,1
STA00099,Batta Ventures,BioTech,AgBio,grant,3,2024,Ahmedabad,8,"Predictive maintenance alerts arrive after failure, not before. IoT energy-monitoring dashboard with ML anomaly detection for factories. Exclusive tie-up with 3 state warehousing corporations.",Industrial units lack real-time visibility into energy wastage.,Industry-linked micro-credential programmes with guaranteed interviews.,AIM-iCREATE grant; product under regulatory review.,2
STA00100,Choudhary Tech,CyberSecurity,API Security,series-a,7,2021,Ahmedabad,20,Commercial rooftops capture less than 8% of viable solar potential. IoT-enabled cold-chain monitoring with real-time temperature alerts. FAME-II subsidy pass-through reducing charger capex 40%.,Medical imaging diagnosis queues in public hospitals average 11 days.,NBFC-backed savings and credit product distributed via SHGs.,B2B SaaS with ₹3.8Cr ARR and 110% net revenue retention.,3
STA00101,Dua Platforms,EdTech,Test Prep,grant,5,2025,Pune,8,First-generation learners cannot afford quality JEE/NEET coaching. Gamified skill tracks with peer accountability pods. Adaptive engine built on 4 years of proprietary learning-path data.,School teachers lack tools to identify slow learners early.,Industry-linked micro-credential programmes with guaranteed interviews.,DST-NIDHI PRAYAS grant sanctioned; lab trials in progress.,3
STA00102,Dutta Ventures,CleanTech,Waste Management,series-a,7,2021,Delhi,7,EV charging deserts exist across National Highway corridors. Modular fast-charging hubs deployed at highway dhabas via franchise model. Proprietary RDF quality-certification accepted by 4 cement majors.,Industrial units lack real-time visibility into energy wastage.,Asset-light rooftop solar leasing model with zero upfront cost for SMEs.,B2B SaaS with ₹3.8Cr ARR and 110% net revenue retention.,3
STA00103,Sami Solutions,HealthTech,Mental Health,series-a,6,2024,Kochi,20,Paper-based health records cause critical diagnostic delays. Unified digital health record accessible across providers. Proprietary symptom-to-disease ML model trained on 2M Indian records.,Rural patients travel 80+ km for specialist consultations.,Unified digital health record accessible across providers.,B2B SaaS with ₹3.8Cr ARR and 110% net revenue retention.,2
STA00104,Bhatt Solutions,AgriTech,Precision Farming,bootstrapped,4,2024,Ahmedabad,30,"Crop losses from pest infestation average 18% due to late detection. Warehouse receipt financing using stored grain as collateral. Ground-truth crop-disease dataset from 12,000 farm visits.",Crop losses from pest infestation average 18% due to late detection.,FPO-linked direct market platform eliminating 3 layers of commission agents.,Self-funded; 80 clients; growing via word-of-mouth.,4
STA00105,Rajan Systems,HRTech,Employee Engagement,pre-seed,3,2025,Pune,3,Rural households lose 20% of savings to informal money lenders. Affordable live-cohort JEE prep with AI-adaptive mock tests. Exclusive partnerships with 40 district hospitals.,"Predictive maintenance alerts arrive after failure, not before.",Modular fast-charging hubs deployed at highway dhabas via franchise model.,MVP in development; 15 design-partner interviews completed.,3
STA00106,Raj Tech,RetailTech,D2C,seed,3,2023,Coimbatore,22,Smallholder farmers receive 30% of consumer price for produce. IoT-enabled cold-chain monitoring with real-time temperature alerts. Physics-informed ML model reducing false-positive maintenance alerts by 60%.,Mental health support is inaccessible in Tier-2 cities.,Warehouse receipt financing using stored grain as collateral.,₹8L MRR; partnerships with 2 district hospitals signed.,3
STA00107,Sidhu Systems,GovTech,e-Governance,grant,3,2024,Pune,6,Indian-language voice interfaces fail below 70% accuracy on regional dialects. Satellite and drone imagery with ML pest-detection alerting farmers 10 days early. Bureau-plus-alternative-data underwriting model with 3.2% NPA at 18 months.,Paper-based health records cause critical diagnostic delays.,Automated follow-up reminders via WhatsApp and IVR.,TIDE 2.0 cohort member; 6-month pilot with state government.,3
STA00108,Wadhwa Systems,HealthTech,Hospital Management,series-a,8,2023,Delhi,21,Mental health support is inaccessible in Tier-2 cities. On-demand video therapy with licensed clinical psychologists. WhatsApp-native UX requiring zero app download.,Paper-based health records cause critical diagnostic delays.,Automated follow-up reminders via WhatsApp and IVR.,"1,200 enterprise clients; expanding to 3 new states.",3
STA00109,Krishnamurthy Systems,AgriTech,Market Linkage,seed,5,2025,Coimbatore,10,Post-harvest losses exceed 25% in perishable supply chains. Warehouse receipt financing using stored grain as collateral. Last-mile network of 200 village-level tech entrepreneurs.,Agricultural credit is unavailable without land-title collateral.,FPO-linked direct market platform eliminating 3 layers of commission agents.,120 beta users; NPS score 68; waitlist of 400.,2
STA00110,Apte Systems,BioTech,Drug Discovery,pre-seed,2,2026,Jaipur,5,EV charging deserts exist across National Highway corridors. Satellite and drone imagery with ML pest-detection alerting farmers 10 days early. Bureau-plus-alternative-data underwriting model with 3.2% NPA at 18 months.,Quality inspection on manufacturing lines misses 12% of defects using manual visual checks.,Dialect-aware ASR model fine-tuned on 900 hours of regional audio.,Problem validated; no paying customers yet.,1
STA00111,Contractor Labs,CleanTech,Water Tech,grant,2,2024,Bengaluru,6,"Municipal solid waste processing costs ₹1,800/tonne yet yields no revenue. Modular fast-charging hubs deployed at highway dhabas via franchise model. FAME-II subsidy pass-through reducing charger capex 40%.",EV charging deserts exist across National Highway corridors.,Modular fast-charging hubs deployed at highway dhabas via franchise model.,TIDE 2.0 cohort member; 6-month pilot with state government.,4
STA00112,Yadav AI,FinTech,Insurance Tech,pre-seed,1,2026,Bengaluru,2,B2B invoice settlement delays strangle MSME cash flow. Automated invoice discounting platform integrated with Tally and Zoho Books. Bureau-plus-alternative-data underwriting model with 3.2% NPA at 18 months.,Gig workers have no access to micro-insurance products.,"Alternative credit scoring using GST, UPI, and utility payment history.",MVP in development; 15 design-partner interviews completed.,3
STA00113,Loke AI,AgriTech,Supply Chain,bootstrapped,5,2022,Mumbai,35,Post-harvest losses exceed 25% in perishable supply chains. Warehouse receipt financing using stored grain as collateral. Exclusive tie-up with 3 state warehousing corporations.,Post-harvest losses exceed 25% in perishable supply chains.,FPO-linked direct market platform eliminating 3 layers of commission agents.,Self-funded; 80 clients; growing via word-of-mouth.,4
STA00114,Oak Ventures,BioTech,Drug Discovery,pre-seed,1,2026,Bengaluru,3,Crop losses from pest infestation average 18% due to late detection. AI radiology assistant prioritising critical findings in chest X-rays within 30 seconds. Last-mile network of 200 village-level tech entrepreneurs.,60% of MSMEs are rejected by formal credit channels due to thin credit files.,Vibration-sensor ML pipeline predicting motor failures 72 hours ahead.,Prototype demoed at college tech fest; 3 LOIs collected.,1
STA00115,Choudhury Platforms,CyberSecurity,Zero Trust,bootstrapped,7,2024,Jaipur,25,Mental health support is inaccessible in Tier-2 cities. Automated follow-up reminders via WhatsApp and IVR. Patented dialect normalisation layer improving WER by 34%.,Commercial rooftops capture less than 8% of viable solar potential.,IoT-enabled cold-chain monitoring with real-time temperature alerts.,Founder-funded through consulting revenue; now product-led.,2
STA00116,Memon Tech,RetailTech,AR Commerce,grant,4,2025,Chennai,6,Paper-based health records cause critical diagnostic delays. Affordable live-cohort JEE prep with AI-adaptive mock tests. Real-time GST data integration via NIC API.,B2B invoice settlement delays strangle MSME cash flow.,AI radiology assistant prioritising critical findings in chest X-rays within 30 seconds.,BIRAC BIG grant recipient; prototype validation underway.,3
STA00117,Saran Labs,EdTech,K-12 Tutoring,seed,5,2025,Jaipur,15,"Upskilling programmes have 70% dropout rates due to poor engagement. AI-based learning-gap detector embedded in existing school LMS. Placement-outcome data from 8,000 alumni powering job-match algorithm.",School teachers lack tools to identify slow learners early.,Affordable live-cohort JEE prep with AI-adaptive mock tests.,Pilot live with 2 SME clients; 92% retention over 3 months.,3
STA00118,Dugar Solutions,CyberSecurity,API Security,pre-seed,1,2025,Chennai,3,Gig workers have no access to micro-insurance products. Warehouse receipt financing using stored grain as collateral. Last-mile network of 200 village-level tech entrepreneurs.,"Municipal solid waste processing costs ₹1,800/tonne yet yields no revenue.",Satellite and drone imagery with ML pest-detection alerting farmers 10 days early.,Problem validated; no paying customers yet.,1
STA00119,Setty Platforms,BioTech,Drug Discovery,pre-seed,3,2025,Ahmedabad,2,School teachers lack tools to identify slow learners early. IoT energy-monitoring dashboard with ML anomaly detection for factories. ABDM-compliant data layer ensuring regulatory fit.,Rural households lose 20% of savings to informal money lenders.,NBFC-backed savings and credit product distributed via SHGs.,Problem validated; no paying customers yet.,3
STA00120,Aggarwal Systems,BioTech,Drug Discovery,pre-seed,2,2026,Bengaluru,6,"School teachers lack tools to identify slow learners early. Warehouse receipt financing using stored grain as collateral. Ground-truth crop-disease dataset from 12,000 farm visits.",Rural patients travel 80+ km for specialist consultations.,FPO-linked direct market platform eliminating 3 layers of commission agents.,Prototype demoed at college tech fest; 3 LOIs collected.,3
