competition_id,profile_id,competition_name,competition_type,year,participation_role,result,team_size,theme
CMP00224,STU-0097,TOYCATHON,demo_day,2021,organizer,Organised successfully; 400+ participants,0,FinTech & Financial Inclusion
CMP00225,STU-0256,CII Young Indians Innovation Challenge,startup_pitch,2025,participant,Shortlisted in top 50,3,EdTech & Skill Development
CMP00226,STU-0223,NASA Space Apps Challenge,ideathon,2021,finalist,National finalist,4,FinTech & Financial Inclusion
CMP00227,STU-0098,Kerala Startup Mission Demo Day,ideathon,2021,finalist,National finalist,1,Women Empowerment & Social Impact
CMP00228,ALU-0043,IIT Madras Shaastra Hackathon,product_showcase,2022,participant,Participated,4,EdTech & Skill Development
CMP00229,STU-0012,Startup Tamil Nadu Ideathon,hackathon,2021,organizer,Organised successfully; 400+ participants,0,Logistics & Supply Chain
CMP00230,ALU-0144,Microsoft Imagine Cup,startup_pitch,2023,participant,Completed submission,2,FinTech & Financial Inclusion
CMP00231,ALU-0103,Sequoia Surge Campus Pitch,product_showcase,2023,participant,Completed submission,5,Logistics & Supply Chain
CMP00232,STU-0297,Startup Tamil Nadu Ideathon,innovation_challenge,2020,participant,Shortlisted in top 50,3,EdTech & Skill Development
CMP00233,STU-0051,BIRAC BIG Grant Pitching Forum,demo_day,2021,finalist,National finalist,1,Deep Tech & AI/ML
CMP00234,STU-0134,Microsoft Imagine Cup,demo_day,2023,finalist,National finalist,2,Cybersecurity
CMP00235,STU-0201,BIRAC BIG Grant Pitching Forum,design_sprint,2024,participant,Completed submission,5,AgriTech & Rural Development
CMP00236,ALU-0141,Anna University Innovation Challenge,ideathon,2023,participant,Shortlisted in top 50,1,EdTech & Skill Development
CMP00237,ALU-0075,IIT Madras Shaastra Hackathon,innovation_challenge,2021,finalist,Top 5 finalist,3,Women Empowerment & Social Impact
CMP00238,STU-0174,IIT Madras Shaastra Hackathon,design_sprint,2025,finalist,Top 5 finalist,4,Women Empowerment & Social Impact
CMP00239,STU-0240,TiE Entrepreneurial Challenge,ideathon,2021,participant,Participated,2,EdTech & Skill Development
CMP00240,STU-0249,Kerala Startup Mission Demo Day,innovation_challenge,2025,participant,Participated,3,Healthcare & MedTech
CMP00241,ALU-0013,Sequoia Surge Campus Pitch,demo_day,2019,participant,Participated,3,AgriTech & Rural Development
CMP00242,STU-0209,BIRAC BIG Grant Pitching Forum,design_sprint,2025,winner,2nd Place,3,Logistics & Supply Chain
CMP00243,STU-0145,Smart India Hackathon,demo_day,2023,finalist,National finalist,5,Healthcare & MedTech
CMP00244,STU-0291,TiE Entrepreneurial Challenge,product_showcase,2024,participant,Participated,5,CleanTech & Sustainability
CMP00245,STU-0009,NASA Space Apps Challenge,demo_day,2024,participant,Completed submission,3,Smart Cities & GovTech
CMP00246,STU-0300,Startup Tamil Nadu Ideathon,innovation_challenge,2022,organizer,Organised successfully; 400+ participants,0,Logistics & Supply Chain
CMP00247,ALU-0024,India Innovation Challenge Design Contest,product_showcase,2023,mentor_judge,Evaluated 30 teams as domain expert judge,0,Logistics & Supply Chain
CMP00248,ALU-0024,Sequoia Surge Campus Pitch,design_sprint,2024,participant,Participated,1,Healthcare & MedTech
CMP00249,ALU-0013,Anna University Innovation Challenge,demo_day,2022,participant,Completed submission,2,Healthcare & MedTech
CMP00250,ALU-0064,IIM Ahmedabad Eureka!,innovation_challenge,2023,participant,Shortlisted in top 50,3,Healthcare & MedTech
CMP00251,STU-0031,BIRAC BIG Grant Pitching Forum,startup_pitch,2020,finalist,Top 5 finalist,2,Smart Cities & GovTech
CMP00252,STU-0090,Startup Tamil Nadu Ideathon,design_sprint,2024,organizer,Organised successfully; 400+ participants,0,Women Empowerment & Social Impact
CMP00253,ALU-0128,CII Young Indians Innovation Challenge,design_sprint,2020,organizer,Organised successfully; 400+ participants,0,Deep Tech & AI/ML
CMP00254,ALU-0160,BIRAC BIG Grant Pitching Forum,innovation_challenge,2020,mentor_judge,Mentored 5 finalist teams,0,FinTech & Financial Inclusion
CMP00255,STU-0208,Microsoft Imagine Cup,startup_pitch,2024,finalist,National finalist,5,FinTech & Financial Inclusion
CMP00256,ALU-0144,NASSCOM 10K Startups,startup_pitch,2019,participant,Participated,5,Logistics & Supply Chain
CMP00257,STU-0189,Anna University Innovation Challenge,product_showcase,2020,mentor_judge,Evaluated 30 teams as domain expert judge,0,Healthcare & MedTech
CMP00258,ALU-0122,IIM Ahmedabad Eureka!,demo_day,2024,winner,Best Innovation Award,3,FinTech & Financial Inclusion
CMP00259,STU-0135,NASSCOM 10K Startups,hackathon,2025,winner,1st Place,5,Women Empowerment & Social Impact
CMP00260,STU-0237,Kerala Startup Mission Demo Day,innovation_challenge,2020,participant,Completed submission,1,Smart Cities & GovTech
CMP00261,STU-0138,Vernacular AI Hackathon by AI4Bharat,product_showcase,2023,participant,Shortlisted in top 50,4,Smart Cities & GovTech
CMP00262,STU-0126,India Innovation Challenge Design Contest,innovation_challenge,2020,participant,Shortlisted in top 50,2,AgriTech & Rural Development
CMP00263,STU-0277,T-Hub LabStart Cohort,innovation_challenge,2024,participant,Participated,2,AgriTech & Rural Development
CMP00264,STU-0013,Anna University Innovation Challenge,product_showcase,2022,participant,Shortlisted in top 50,2,Deep Tech & AI/ML
CMP00265,ALU-0090,Anna University Innovation Challenge,demo_day,2023,participant,Participated,5,Women Empowerment & Social Impact
CMP00266,STU-0040,Vernacular AI Hackathon by AI4Bharat,hackathon,2022,finalist,National finalist,4,Healthcare & MedTech
CMP00267,STU-0016,BIRAC BIG Grant Pitching Forum,demo_day,2024,organizer,Organised successfully; 400+ participants,0,Healthcare & MedTech
CMP00268,STU-0051,TiE Entrepreneurial Challenge,startup_pitch,2022,finalist,National finalist,4,CleanTech & Sustainability
CMP00269,ALU-0173,NASSCOM 10K Startups,demo_day,2021,winner,3rd Place,5,Healthcare & MedTech
CMP00270,ALU-0175,Sequoia Surge Campus Pitch,hackathon,2024,finalist,Top 10 finalist,5,EdTech & Skill Development
CMP00271,ALU-0051,Microsoft Imagine Cup,demo_day,2022,participant,Completed submission,3,Cybersecurity
CMP00272,STU-0207,Sequoia Surge Campus Pitch,hackathon,2021,participant,Shortlisted in top 50,3,FinTech & Financial Inclusion
CMP00273,STU-0094,Google Solution Challenge,ideathon,2022,winner,1st Place,3,EdTech & Skill Development
CMP00274,STU-0126,Kerala Startup Mission Demo Day,innovation_challenge,2022,finalist,Top 5 finalist,5,Deep Tech & AI/ML
CMP00275,ALU-0044,National Entrepreneurship Challenge (IIT Bombay),product_showcase,2024,participant,Participated,2,FinTech & Financial Inclusion
CMP00276,STU-0053,T-Hub LabStart Cohort,startup_pitch,2021,organizer,Organised successfully; 400+ participants,0,Cybersecurity
CMP00277,STU-0121,Microsoft Imagine Cup,innovation_challenge,2019,participant,Participated,5,CleanTech & Sustainability
CMP00278,STU-0017,BIRAC BIG Grant Pitching Forum,product_showcase,2019,participant,Shortlisted in top 50,5,Cybersecurity
CMP00279,ALU-0188,Sequoia Surge Campus Pitch,demo_day,2022,participant,Completed submission,1,Women Empowerment & Social Impact
CMP00280,STU-0058,NIDHI Prayas Demo Day,design_sprint,2024,finalist,Top 10 finalist,5,AgriTech & Rural Development
CMP00281,STU-0057,IIT Madras Shaastra Hackathon,hackathon,2020,participant,Participated,1,Women Empowerment & Social Impact
CMP00282,ALU-0040,NASA Space Apps Challenge,hackathon,2019,winner,3rd Place,4,FinTech & Financial Inclusion
CMP00283,ALU-0130,NASSCOM 10K Startups,demo_day,2024,participant,Shortlisted in top 50,5,Smart Cities & GovTech
CMP00284,ALU-0007,Anna University Innovation Challenge,startup_pitch,2022,mentor_judge,Evaluated 30 teams as domain expert judge,0,EdTech & Skill Development
CMP00285,STU-0067,IIM Ahmedabad Eureka!,demo_day,2020,winner,Special Jury Prize,1,CleanTech & Sustainability
CMP00286,ALU-0007,TiE Entrepreneurial Challenge,ideathon,2020,participant,Shortlisted in top 50,5,Healthcare & MedTech
CMP00287,STU-0013,NASA Space Apps Challenge,demo_day,2024,participant,Completed submission,5,CleanTech & Sustainability
CMP00288,STU-0266,Vernacular AI Hackathon by AI4Bharat,design_sprint,2023,participant,Shortlisted in top 50,3,FinTech & Financial Inclusion
CMP00289,ALU-0024,India Innovation Challenge Design Contest,demo_day,2025,finalist,Top 5 finalist,2,Women Empowerment & Social Impact
CMP00290,STU-0199,Smart India Hackathon,hackathon,2019,participant,Shortlisted in top 50,4,EdTech & Skill Development
CMP00291,ALU-0125,T-Hub LabStart Cohort,hackathon,2021,winner,2nd Place,3,Logistics & Supply Chain
CMP00292,STU-0012,TiE Entrepreneurial Challenge,ideathon,2021,winner,2nd Place,3,EdTech & Skill Development
CMP00293,STU-0126,Anna University Innovation Challenge,product_showcase,2019,participant,Completed submission,1,Smart Cities & GovTech
CMP00294,STU-0030,NASSCOM 10K Startups,innovation_challenge,2021,participant,Completed submission,3,Cybersecurity
CMP00295,STU-0140,India Innovation Challenge Design Contest,innovation_challenge,2024,organizer,Organised successfully; 400+ participants,0,Cybersecurity
CMP00296,ALU-0174,T-Hub LabStart Cohort,ideathon,2019,organizer,Coordinated 3 tracks; 200 teams,0,Logistics & Supply Chain
CMP00297,ALU-0024,BIRAC BIG Grant Pitching Forum,design_sprint,2019,participant,Completed submission,2,Women Empowerment & Social Impact
CMP00298,STU-0068,Microsoft Imagine Cup,startup_pitch,2025,finalist,Top 5 finalist,1,Smart Cities & GovTech
CMP00299,ALU-0099,NASSCOM 10K Startups,design_sprint,2019,mentor_judge,Evaluated 30 teams as domain expert judge,0,CleanTech & Sustainability
CMP00300,STU-0033,NIDHI Prayas Demo Day,demo_day,2019,winner,3rd Place,4,AgriTech & Rural Development
