achievement_id,profile_id,category,title,issuing_body,year,impact_level,notes,verified,nirf_countable
ACH000201,STU-0258,incubator_selection,Inducted — Anna University BioNEST,T-Hub Hyderabad,2019,regional,Outcome used as evidence in grant application.,false,false
ACH000202,STU-0016,publication,Published in IEEE Transactions on Neural Networks,Springer,2025,regional,Team received ₹50K prize money.,false,false
ACH000203,STU-0072,leadership_role,"Core Organiser, Annual Innovation Summit",Chennai Institute of Technology,2023,campus,Team received ₹50K prize money.,false,false
ACH000204,STU-0155,hackathon_win,Best Prototype Award — NASA Space Apps,Google,2022,campus,Featured in institution newsletter.,false,false
ACH000205,ALU-0123,grant_recognition,TIDE 2.0 Cohort Member,MeitY TIDE 2.0,2024,campus,Presented at national-level summit post-win.,false,false
ACH000206,STU-0245,leadership_role,"President, Entrepreneurship Cell",IEEE India Council,2020,campus,Led to incubation cell admission.,false,false
ACH000207,ALU-0056,research_demo,"Paper Presentation, ICSE 2023",ACM,2024,national,Cited in NIRF Innovation submission.,false,false
ACH000208,STU-0140,hackathon_win,Winner — Smart India Hackathon 2024,NASA,2025,national,Outcome used as evidence in grant application.,false,false
ACH000209,STU-0044,hackathon_win,Grand Prix — Google Solution Challenge India,"Ministry of Education, GoI",2019,national,Featured in institution newsletter.,false,false
ACH000210,ALU-0006,leadership_role,"President, Entrepreneurship Cell",Institution's Innovation Cell,2021,regional,Featured in institution newsletter.,false,false
ACH000211,STU-0144,incubator_selection,Admitted — T-Hub LabStart Programme,DST-NIDHI,2023,regional,Featured in institution newsletter.,false,false
ACH000212,ALU-0007,research_demo,Demo at NASSCOM AI Symposium,ACM,2019,campus,Featured in institution newsletter.,false,false
ACH000213,ALU-0021,patent_filing,Patent Application: Multimodal Soil Sensor Array,USPTO,2025,regional,Cited in NIRF Innovation submission.,false,false
ACH000214,STU-0224,fellowship,Google Generation Scholar,"PMRF, MHRD",2020,campus,Led to incubation cell admission.,false,false
ACH000215,STU-0261,incubator_selection,Selected — NIDHI PRAYAS Cohort 7,Anna University,2023,campus,Featured in institution newsletter.,false,false
ACH000216,ALU-0134,leadership_role,"Core Organiser, Annual Innovation Summit",IEEE India Council,2021,national,Covered by regional media.,false,false
ACH000217,ALU-0077,incubator_selection,Accepted — CIIE.CO Pre-Incubation,DST-NIDHI,2024,national,Presented at national-level summit post-win.,false,false
ACH000218,STU-0056,hackathon_win,1st Place — IIT Madras Shaastra Hack,NASA,2023,campus,Resulted in follow-on collaboration with industry partner.,false,false
ACH000219,STU-0125,fellowship,Google Generation Scholar,Qualcomm,2022,campus,Contributed to NIRF Innovation Achievements count.,false,false
ACH000220,STU-0262,fellowship,Infosys Foundation Fellowship,"PMRF, MHRD",2025,regional,Led to incubation cell admission.,false,false
ACH000221,STU-0165,leadership_role,"Core Organiser, Annual Innovation Summit",Student Council,2025,regional,Contributed to NIRF Innovation Achievements count.,false,false
ACH000222,STU-0281,patent_filing,Patent Filed: Adaptive Learning Algorithm (2024),USPTO,2022,regional,Resulted in follow-on collaboration with industry partner.,false,false
ACH000223,STU-0103,grant_recognition,DST-NIMAT Grant Awardee,MeitY TIDE 2.0,2023,campus,Contributed to NIRF Innovation Achievements count.,false,false
ACH000224,STU-0058,prototype_completion,Hardware Prototype for EV Charging Hub,IIC — Institution's Innovation Cell,2024,campus,Recognised at annual convocation ceremony.,false,false
ACH000225,STU-0189,grant_recognition,AIM-iCREATE Finalist,DST India,2019,campus,Led to incubation cell admission.,false,false
ACH000226,STU-0085,leadership_role,"President, Entrepreneurship Cell",IEEE India Council,2020,regional,Covered by regional media.,false,false
ACH000227,ALU-0121,publication,Accepted at ACM SIGCHI 2024,ACM,2022,national,Covered by regional media.,false,false
ACH000228,ALU-0036,leadership_role,"Club Captain, AI/ML Research Group",IEEE India Council,2019,campus,Covered by regional media.,false,false
ACH000229,ALU-0087,incubator_selection,Admitted — T-Hub LabStart Programme,DST-NIDHI,2019,national,Presented at national-level summit post-win.,false,false
ACH000230,STU-0092,prototype_completion,Functional Demo of NLP Invoice Parser,"Incubation Cell, CIT",2021,regional,Covered by regional media.,false,false
ACH000231,ALU-0140,hackathon_win,Best Prototype Award — NASA Space Apps,IIT Madras,2019,national,Covered by regional media.,false,false
ACH000232,STU-0121,award,Best Student Innovator — NASSCOM,DRDO,2025,national,Team received ₹50K prize money.,false,false
ACH000233,STU-0053,publication,Published in IEEE Transactions on Neural Networks,IEEE,2024,campus,Led to incubation cell admission.,false,false
ACH000234,STU-0053,leadership_role,"Core Organiser, Annual Innovation Summit",IEEE India Council,2022,national,Presented at national-level summit post-win.,false,false
ACH000235,STU-0290,leadership_role,"Technical Lead, IEEE Student Chapter",Institution's Innovation Cell,2020,campus,Covered by regional media.,false,false
ACH000236,STU-0269,hackathon_win,1st Place — IIT Madras Shaastra Hack,Google,2020,campus,Team received ₹50K prize money.,false,false
ACH000237,ALU-0181,hackathon_win,1st Place — IIT Madras Shaastra Hack,NASA,2024,campus,Cited in NIRF Innovation submission.,false,false
ACH000238,ALU-0134,grant_recognition,TIDE 2.0 Cohort Member,BIRAC,2019,regional,Recognised at annual convocation ceremony.,false,false
ACH000239,STU-0241,incubator_selection,Inducted — Anna University BioNEST,CIIE.CO Ahmedabad,2023,national,Presented at national-level summit post-win.,false,false
ACH000240,STU-0047,grant_recognition,BIRAC BIG Grant Recipient,MeitY TIDE 2.0,2023,regional,Led to incubation cell admission.,false,false
ACH000241,ALU-0080,award,Young Entrepreneur Award — CII,NASSCOM,2023,campus,Covered by regional media.,false,false
ACH000242,ALU-0048,research_demo,"Paper Presentation, ICSE 2023",NeurIPS Foundation,2019,campus,Outcome used as evidence in grant application.,false,false
ACH000243,STU-0267,incubator_selection,Selected — NIDHI PRAYAS Cohort 7,CIIE.CO Ahmedabad,2019,national,Team received ₹50K prize money.,false,false
ACH000244,STU-0288,fellowship,Infosys Foundation Fellowship,Qualcomm,2021,national,Led to incubation cell admission.,false,false
ACH000245,STU-0271,prototype_completion,Hardware Prototype for EV Charging Hub,IIC — Institution's Innovation Cell,2020,campus,Team received ₹50K prize money.,false,false
ACH000246,STU-0155,patent_filing,Provisional Patent: Low-Power Edge AI Module,USPTO,2019,campus,Recognised at annual convocation ceremony.,false,false
ACH000247,STU-0037,leadership_role,"Core Organiser, Annual Innovation Summit",Student Council,2020,regional,Contributed to NIRF Innovation Achievements count.,false,false
ACH000248,STU-0053,hackathon_win,Winner — Smart India Hackathon 2024,Google,2021,national,Outcome used as evidence in grant application.,false,false
ACH000249,STU-0115,research_demo,Research Demonstration at ICCV 2024,NeurIPS Foundation,2019,campus,Cited in NIRF Innovation submission.,false,false
ACH000250,STU-0185,publication,Published in IEEE Transactions on Neural Networks,Springer,2023,national,Presented at national-level summit post-win.,false,false
